CustomerID,Lookalikes
C0001,"[('C0107', 0.764), ('C0048', 0.6), ('C0174', 0.579)]"
C0002,"[('C0142', 0.586), ('C0177', 0.507), ('C0088', 0.499)]"
C0003,"[('C0120', 0.414), ('C0129', 0.401), ('C0091', 0.395)]"
C0004,"[('C0113', 0.621), ('C0012', 0.527), ('C0099', 0.465)]"
C0005,"[('C0186', 0.698), ('C0177', 0.601), ('C0159', 0.55)]"
C0006,"[('C0171', 0.534), ('C0168', 0.502), ('C0158', 0.395)]"
C0007,"[('C0140', 0.465), ('C0005', 0.414), ('C0027', 0.401)]"
C0008,"[('C0098', 0.396), ('C0139', 0.343), ('C0194', 0.342)]"
C0009,"[('C0198', 0.456), ('C0119', 0.392), ('C0103', 0.363)]"
C0010,"[('C0111', 0.511), ('C0166', 0.503), ('C0197', 0.444)]"
C0011,"[('C0048', 0.669), ('C0133', 0.549), ('C0190', 0.543)]"
C0012,"[('C0155', 0.537), ('C0004', 0.527), ('C0113', 0.499)]"
C0013,"[('C0155', 0.629), ('C0104', 0.57), ('C0012', 0.499)]"
C0014,"[('C0062', 0.236), ('C0060', 0.228), ('C0073', 0.227)]"
C0015,"[('C0042', 0.408), ('C0036', 0.389), ('C0131', 0.381)]"
C0016,"[('C0183', 0.569), ('C0067', 0.474), ('C0154', 0.469)]"
C0017,"[('C0124', 0.496), ('C0057', 0.415), ('C0051', 0.396)]"
C0018,"[('C0117', 0.392), ('C0079', 0.389), ('C0026', 0.345)]"
C0019,"[('C0172', 0.723), ('C0127', 0.465), ('C0069', 0.456)]"
C0020,"[('C0144', 0.28), ('C0080', 0.225), ('C0176', 0.225)]"
